freq_MHz,dBuV_z
31031250.0,10.5612
31034375.0,10.70344
31037500.0,10.83488
31040625.0,10.95545
31043750.0,11.06509
31046875.0,11.1638
31050000.0,11.2516
31053125.0,11.32858
31056250.0,11.39484
31059375.0,11.45054
31062500.0,11.49584
31065625.0,11.53096
31068750.0,11.55609
31071875.0,11.57153
31075000.0,11.57748
31078125.0,11.57429
31081250.0,11.5622
31084375.0,11.54156
31087500.0,11.51271
31090625.0,11.47601
31093750.0,11.43186
31096875.0,11.38068
31100000.0,11.34199
31103125.0,11.37651
31106250.0,11.40971
31109375.0,11.44251
31112500.0,11.47571
31115625.0,11.51
31118750.0,11.54598
31121875.0,11.58409
31125000.0,11.6246605
31128125.0,11.66792
31131250.0,11.71393
31134375.0,11.76266
31137500.0,11.81398
31140625.0,11.86766
31143750.0,11.92337
31146875.0,11.98075
31150000.0,12.03936
31153125.0,12.09872
31156250.0,12.15831
31159375.0,12.21763
31162500.0,12.27612
31165625.0,12.3332405
31168750.0,12.38843
31171875.0,12.44115
31175000.0,12.49086
31178125.0,12.53705
31181250.0,12.57921
31184375.0,12.61684
31187500.0,12.6495
31190625.0,12.67673
31193750.0,12.69812
31196875.0,12.71329
31200000.0,12.72188
31203125.0,12.72359
31206250.0,12.71812
31209375.0,12.70522
31212500.0,12.68472
31215625.0,12.65645
31218750.0,12.62028
31221875.0,12.5762005
31225000.0,12.52416
31228125.0,12.46423
31231250.0,12.39652
31234375.0,12.32122
31237500.0,12.23853
31240625.0,12.1488
31243750.0,12.05238
31246875.0,11.94977
31250000.0,11.84148
31253125.0,11.72816
31256250.0,11.61053
31259375.0,11.48941
31262500.0,11.36572
31265625.0,11.24047
31268750.0,11.11475
31271875.0,10.98978
31275000.0,10.86684
31278125.0,10.7473
31281250.0,10.63258
31284375.0,10.52418
31287500.0,10.54214
31290625.0,10.5881605
31293750.0,10.63591
31296875.0,10.68478
31300000.0,10.73419
31303125.0,10.78356
31306250.0,10.83231
31309375.0,10.8799
31312500.0,10.92576
31315625.0,10.97517
31318750.0,11.05048
31321875.0,11.1162
31325000.0,11.17217
31328125.0,11.21825
31331250.0,11.25433
31334375.0,11.28023
31337500.0,11.2959
31340625.0,11.30122
31343750.0,11.2961
31346875.0,11.28049
31350000.0,11.2858
31353125.0,11.44672
31356250.0,11.60968
31359375.0,11.77318
31362500.0,11.93579
31365625.0,12.09615
31368750.0,12.25294
31371875.0,12.405
31375000.0,12.55118
31378125.0,12.69046
31381250.0,12.82189
31384375.0,12.94462
31387500.0,13.05785
31390625.0,13.1609
31393750.0,13.2531
31396875.0,13.3339205
31400000.0,13.40286
31403125.0,13.45952
31406250.0,13.50352
31409375.0,13.53458
31412500.0,13.55246
31415625.0,13.55699
31418750.0,13.54807
31421875.0,13.52562
31425000.0,13.48965
31428125.0,13.44021
31431250.0,13.3774
31434375.0,13.30141
31437500.0,13.21242
31440625.0,13.11074
31443750.0,12.99667
31446875.0,12.87061
31450000.0,12.73296
31453125.0,12.58423
31456250.0,12.42496
31459375.0,12.2557
31462500.0,12.07711
31465625.0,11.88987
31468750.0,11.69468
31471875.0,11.49231
